REGION_NUM,REGION_NAME,FOREST_NAME,DISTRICT_NAME,CITY,STATE,LOCATION,MODULES,HOUSING,NOTES,FOREST_URL
3,Southwestern,GILA,QUEMADO,QUEMADO,NEW MEXICO,"QUEMADO, NEW MEXICO","Engine, WFM",YES,,https://www.fs.usda.gov/gila/
3,Southwestern,CARSON,QUESTA,QUESTA,NEW MEXICO,"QUESTA, NEW MEXICO",,,,https://www.fs.usda.gov/carson
6,Pacific Northwest,OLYMPIC,HOOD CANAL,QUILCENE,WASHINGTON,"QUILCENE, WASHINGTON",,,,http://www.fs.usda.gov/olympic/
6,Pacific Northwest,OLYMPIC,PACIFIC,QUINAULT,WASHINGTON,"QUINAULT, WASHINGTON",,,,http://www.fs.usda.gov/olympic/
5,Pacific Southwest,PLUMAS,MT HOUGH,QUINCY,CALIFORNIA,"QUINCY, CALIFORNIA","Engine, Hotshot Crew, Helitack, Fuels, Prevention",YES,"Housing on site pretty nice, also Greenville and Belden (Gansner Bar) duty stations have housing.",http://www.fs.usda.gov/plumas/
5,Pacific Southwest,CLEVELAND,PALOMAR,RAMONA,CALIFORNIA,"RAMONA, CALIFORNIA",,,,http://www.fs.usda.gov/cleveland
6,Pacific Northwest,GIFFORD PINCHOT,COWLITZ VALLEY,RANDLE,WASHINGTON,"RANDLE, WASHINGTON","Type 2/2IA Handcrew  (Dedicated 20+person), IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/giffordpinchot
2,Rocky Mountain,BLACK HILLS,MYSTIC,RAPID CITY,SOUTH DAKOTA,"RAPID CITY, SOUTH DAKOTA",Engine,Yes,"Bunkhouses located in Hill City, 45min from Rapid City",http://www.fs.usda.gov/blackhills
1,Northern,CUSTER GALLATIN,BEARTOOTH,RED LODGE,MONTANA,"RED LODGE, MONTANA",,,,http://www.fs.usda.gov/custergallatin
5,Pacific Southwest,SHASTA-TRINITY,REDDING AIR CENTER,REDDING,CALIFORNIA,"REDDING, CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
6,Pacific Northwest,DESCHUTES,REDMOND AIR CENTER,REDMOND,OREGON,"REDMOND, OREGON",smokejumper,YES,,http://www.fs.usda.gov/centraloregon
6,Pacific Northwest,SIUSLAW,OREGON DUNES NATIONAL RECREATION AREA,REEDSPORT,OREGON,"REEDSPORT, OREGON",Engine,NO,,http://www.fs.usda.gov/siuslaw
6,Pacific Northwest,COLVILLE,REPUBLIC,REPUBLIC,WASHINGTON,"REPUBLIC, WASHINGTON",Engine,NO,,http://www.fs.usda.gov/colville
3,Southwestern,GILA,RESERVE,RESERVE,NEW MEXICO,"RESERVE, NEW MEXICO","Engine, HOTSHOT CREW",YES,Housing available at nearby Luna guard station. GILA IHC at Negrito Firebase wayyy outside of town,https://www.fs.usda.gov/gila/
2,Rocky Mountain,WHITE RIVER,RIFLE,RIFLE,COLORADO,"RIFLE, COLORADO","Engine, WFM, Helitack",YES,"The helitack crew is very dialed, but you will likely not leave the district.",http://www.fs.usda.gov/whiteriver
6,Pacific Northwest,WALLOWA-WHITMAN,HELLS CANYON NATIONAL RECREATION AREA,RIGGINS,IDAHO,"RIGGINS, IDAHO",,,,http://www.fs.usda.gov/wallowa-whitman
3,Southwestern,TONTO,TONTO BASIN,ROOSEVELT,ARIZONA,"ROOSEVELT, ARIZONA",Engine,YES,,https://www.fs.usda.gov/tonto/
3,Southwestern,LINCOLN,SMOKEY BEAR,RUIDOSO,NEW MEXICO,"RUIDOSO, NEW MEXICO",,,,https://www.fs.usda.gov/lincoln
3,Southwestern,LINCOLN,SACRAMENTO,SACRAMENTO,NEW MEXICO,"SACRAMENTO, NEW MEXICO",Hotshot Crew,YES,,https://www.fs.usda.gov/lincoln
3,Southwestern,CORONADO,SAFFORD,SAFFORD,ARIZONA,"SAFFORD, ARIZONA",Engine,NO,,https://www.fs.usda.gov/coronado
2,Rocky Mountain,RIO GRANDE,SAGUACHE,SAGUACHE,COLORADO,"SAGUACHE, COLORADO",,,,http://www.fs.usda.gov/riogrande
2,Rocky Mountain,PIKE AND SAN ISABEL,SALIDA,SALIDA,COLORADO,"SALIDA, COLORADO",,,,http://www.fs.usda.gov/psicc
4,Intermountain,SALMON AND CHALLIS,SALMON AND COBALT,SALMON,IDAHO,"SALMON, IDAHO",Rappel,NO,,http://www.fs.usda.gov/scnf
4,Intermountain,UINTA-WASATCH-CACHE,SALT LAKE,SALT LAKE CITY,UTAH,"SALT LAKE CITY, UTAH","Engine, Type 2/2IA Handcrew, IA Crew/Squad (4-10 person), Fuels",NO,,http://www.fs.usda.gov/uwcnf
5,Pacific Southwest,SIX RIVERS,LOWER TRINITY,SALYER,CALIFORNIA,"SALYER, CALIFORNIA",Engine,YES,"There are also barracks at Ti bar, Orleans and Oak Bottom as if last year. (All managed in the six rivers ORD) Gasquet should still have barracks but I haven't been there in a couple years.",http://www.fs.usda.gov/srnf/
5,Pacific Southwest,ANGELES,LOS ANGELES GATEWAY,SAN FERNANDO,CALIFORNIA,"SAN FERNANDO, CALIFORNIA","Engine, Hotshot Crew",YES,The San Fernando or LA Gateway duty location on The Angeles has 10 type 3 engines and 3 hotshot crews 7 of the 10 stations have barracks ,http://www.fs.usda.gov/angeles
1,Northern,IDAHO PANHANDLE,SANDPOINT,SANDPOINT,IDAHO,"SANDPOINT, IDAHO",WFM,NO,,https://www.fs.usda.gov/ipnf/
5,Pacific Southwest,LOS PADRES,SANTA BARBARA,SANTA BARBARA,CALIFORNIA,"SANTA BARBARA, CALIFORNIA",Helitack,NO,Santa Ynez?,http://www.fs.usda.gov/lpnf
3,Southwestern,SANTA FE,ESPANOLA,SANTA FE,NEW MEXICO,"SANTA FE, NEW MEXICO",Hotshot Crew,NO,,https://www.fs.usda.gov/santafe/
3,Southwestern,SANTA FE,SO,SANTA FE,NEW MEXICO,"SANTA FE, NEW MEXICO",,,,https://www.fs.usda.gov/santafe/
5,Pacific Southwest,LOS PADRES,SANTA LUCIA,SANTA MARIA,CALIFORNIA,"SANTA MARIA, CALIFORNIA",,,,http://www.fs.usda.gov/lpnf
2,Rocky Mountain,MEDICINE BOW-ROUTT,BRUSH CREEK-HAYDEN,SARATOGA,WYOMING,"SARATOGA, WYOMING",,,,http://www.fs.usda.gov/mbr
5,Pacific Southwest,KLAMATH,SCOTT-SALMON,SAWYERS BAR,CALIFORNIA,"SAWYERS BAR, CALIFORNIA","Engine, Hotshot Crew",YES,2021 season has issues with generators powering compound. Salmon River Hotshots have moved to Fort Jones Station (may become a permanet switch). Engine 345 still staffs compound ,http://www.fs.usda.gov/klamath
3,Southwestern,TONTO,CAVE CREEK,SCOTTSDALE,ARIZONA,"SCOTTSDALE, ARIZONA",,,,https://www.fs.usda.gov/tonto/
3,Southwestern,COCONINO,RED ROCK,SEDONA,ARIZONA,"SEDONA, ARIZONA",,,,https://www.fs.usda.gov/coconino
6,Pacific Northwest,MT. BAKER-SNOQUALMIE,MT. BAKER,SEDRO WOOLLEY,WASHINGTON,"SEDRO WOOLLEY, WASHINGTON",Hotshot Crew,YES,,http://www.fs.usda.gov/mbs
1,Northern,LOLO,SEELEY,SEELEY LAKE,MONTANA,"SEELEY LAKE, MONTANA",Engine,YES,,http://www.fs.usda.gov/lolo
5,Pacific Southwest,KLAMATH,HAPPY CAMP,SEIAD VALLEY,CALIFORNIA,"SEIAD VALLEY, CALIFORNIA",Engine,YES,,http://www.fs.usda.gov/klamath
2,Rocky Mountain,BIGHORN,TONGUE,SHERIDAN,WYOMING,"SHERIDAN, WYOMING","Engine, Prevention",YES,,http://www.fs.usda.gov/bighorn
5,Pacific Southwest,TAHOE,SIERRAVILLE,SIERRAVILLE,CALIFORNIA,"SIERRAVILLE, CALIFORNIA",,,,https://www.fs.usda.gov/tahoe/
3,Southwestern,GILA,SILVER CITY,SILVER CITY,NEW MEXICO,"SILVER CITY, NEW MEXICO",Hotshot Crew,YES,,https://www.fs.usda.gov/gila/
6,Pacific Northwest,FREMONT-WINEMA,SILVER LAKE,SILVER LAKE,OREGON,"SILVER LAKE, OREGON",Engine,YES,,http://www.fs.usda.gov/fremont-winema
2,Rocky Mountain,WHITE RIVER,DILLON,SILVERTHORNE,COLORADO,"SILVERTHORNE, COLORADO",,,,http://www.fs.usda.gov/whiteriver
6,Pacific Northwest,DESCHUTES,SISTERS,SISTERS,OREGON,"SISTERS, OREGON",WFM,YES,,http://www.fs.usda.gov/centraloregon
6,Pacific Northwest,MT. BAKER-SNOQUALMIE,SKYKOMISH,SKYKOMISH,WASHINGTON,"SKYKOMISH, WASHINGTON",,,,http://www.fs.usda.gov/mbs
1,Northern,IDAHO PANHANDLE,COEUR D ALENE RIVER,SMELTERVILLE,IDAHO,"SMELTERVILLE, IDAHO",,,,https://www.fs.usda.gov/ipnf/
5,Pacific Southwest,TAHOE,TRUCKEE,SODA SPRINGS,CALIFORNIA,"SODA SPRINGS, CALIFORNIA",Engine,YES,,https://www.fs.usda.gov/tahoe/
4,Intermountain,CARIBOU-TARGHEE,SODA SPRINGS,SODA SPRINGS,IDAHO,"SODA SPRINGS, IDAHO",,,,http://www.fs.usda.gov/ctnf
5,Pacific Southwest,LAKE TAHOE BASIN MANAGEMENT UNIT,LAKE TAHOE BASIN MANAGEMENT UNIT,SOUTH LAKE TAHOE,CALIFORNIA,"SOUTH LAKE TAHOE, CALIFORNIA",,,,http://www.fs.usda.gov/ltbmu/
4,Intermountain,UINTA-WASATCH-CACHE,OGDEN,SOUTH WEBER,UTAH,"SOUTH WEBER, UTAH","Engine, Type 2/2IA Handcrew, IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/uwcnf
4,Intermountain,UINTA-WASATCH-CACHE,SPANISH FORK,SPANISH FORK,UTAH,"SPANISH FORK, UTAH","Engine, IA Crew/Squad (4-10 person)",NO,,http://www.fs.usda.gov/uwcnf
2,Rocky Mountain,BLACK HILLS,NORTHERN HILLS,SPEARFISH,SOUTH DAKOTA,"SPEARFISH, SOUTH DAKOTA",,,,http://www.fs.usda.gov/blackhills
1,Northern,FLATHEAD,SPOTTED BEAR,SPOTTED BEAR,MONTANA,"SPOTTED BEAR, MONTANA","Engine, WFM",YES,,http://www.fs.usda.gov/flathead
3,Southwestern,APACHE-SITGREAVES,SPRINGERVILLE,SPRINGERVILLE,ARIZONA,"SPRINGERVILLE, ARIZONA",,,,https://www.fs.usda.gov/asnf
2,Rocky Mountain,PIKE AND SAN ISABEL,COMANCHE NATIONAL GRASSLAND,SPRINGFIELD,COLORADO,"SPRINGFIELD, COLORADO",Engine,Yes,,http://www.fs.usda.gov/psicc
5,Pacific Southwest,SEQUOIA,WESTERN DIVIDE,SPRINGVILLE,CALIFORNIA,"SPRINGVILLE, CALIFORNIA",,,,http://www.fs.usda.gov/sequoia/
4,Intermountain,DIXIE,PINE VALLEY,ST GEORGE,UTAH,"ST GEORGE, UTAH",Engine,NO,,http://www.fs.usda.gov/dixie
1,Northern,IDAHO PANHANDLE,ST. JOE,ST. MARIES,IDAHO,"ST. MARIES, IDAHO",Engine,NO,,https://www.fs.usda.gov/ipnf/
1,Northern,HELENA-LEWIS AND CLARK,JUDITH,STANFORD,MONTANA,"STANFORD, MONTANA",,,,http://www.fs.usda.gov/helena/
4,Intermountain,SAWTOOTH,SAWTOOTH NATIONAL RECREATION AREA,STANLEY,IDAHO,"STANLEY, IDAHO","Engine, IA Crew/Squad (4-10 person)",YES,"Bunkhouse first seasonals, FEMA trailers for perms, limited year round housing ",http://www.fs.usda.gov/sawtooth
2,Rocky Mountain,MEDICINE BOW-ROUTT,HAHNS PEAK-BEARS EARS,STEAMBOAT SPGS,COLORADO,"STEAMBOAT SPGS, COLORADO",WFM,YES,"small 10 person bunkhouse, always fills up quick from steeeep local housing prices",http://www.fs.usda.gov/mbr
1,Northern,BITTERROOT,STEVENSVILLE,STEVENSVILLE,MONTANA,"STEVENSVILLE, MONTANA",Engine,YES,,http://www.fs.usda.gov/bitterroot
5,Pacific Southwest,MENDOCINO,GRINDSTONE,STONYFORD,CALIFORNIA,"STONYFORD, CALIFORNIA","Engine, Hotshot Crew",YES,Housing is often at capacity,http://www.fs.usda.gov/mendocino/
1,Northern,BITTERROOT,SULA,SULA,MONTANA,"SULA, MONTANA","Engine, Hotshot Crew",YES,,http://www.fs.usda.gov/bitterroot
2,Rocky Mountain,BLACK HILLS,BEARLODGE,SUNDANCE,WYOMING,"SUNDANCE, WYOMING",,,,http://www.fs.usda.gov/blackhills
1,Northern,LOLO,SUPERIOR,SUPERIOR,MONTANA,"SUPERIOR, MONTANA",Engine,YES,,http://www.fs.usda.gov/lolo
5,Pacific Southwest,LASSEN,EAGLE LAKE,SUSANVILLE,CALIFORNIA,"SUSANVILLE, CALIFORNIA","Engine, Hotshot Crew, Prevention",YES,,http://www.fs.usda.gov/lassen
4,Intermountain,CARIBOU-TARGHEE,PALISADES,SWAN VALLEY,IDAHO,"SWAN VALLEY, IDAHO","Engine, Helitack",YES,,http://www.fs.usda.gov/ctnf
6,Pacific Northwest,WILLAMETTE,SWEET HOME,SWEET HOME,OREGON,"SWEET HOME, OREGON",,,,http://www.fs.usda.gov/willamette
3,Southwestern,CARSON,SO,TAOS,NEW MEXICO,"TAOS, NEW MEXICO",Hotshot Crew,YES,,https://www.fs.usda.gov/carson
3,Southwestern,CIBOLA,SANDIA,TIJERAS,NEW MEXICO,"TIJERAS, NEW MEXICO",,,,https://www.fs.usda.gov/cibola
6,Pacific Northwest,UMPQUA,TILLER,TILLER,OREGON,"TILLER, OREGON","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) , Fuels, Prevention",YES,,http://www.fs.usda.gov/umpqua
6,Pacific Northwest,OKANOGAN-WENATCHEE,TONASKET,TONASKET,WASHINGTON,"TONASKET, WASHINGTON","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) , Fuels, Prevention",NO,,http://www.fs.usda.gov/okawen
4,Intermountain,HUMBOLDT-TOIYABE,AUSTIN/TONOPAH,TONOPAH,NEVADA,"TONOPAH, NEVADA",,,,http://www.fs.usda.gov/htnf
3,Southwestern,TONTO,TONTO BASIN,TONTO BASIN,ARIZONA,"TONTO BASIN, ARIZONA",Engine,YES,,https://www.fs.usda.gov/tonto/
1,Northern,HELENA-LEWIS AND CLARK,TOWNSEND,TOWNSEND,MONTANA,"TOWNSEND, MONTANA",Engine,YES,,http://www.fs.usda.gov/helena/
3,Southwestern,CARSON,TRES PIEDRAS,TRES PIEDRAS,NEW MEXICO,"TRES PIEDRAS, NEW MEXICO",,,,https://www.fs.usda.gov/carson
5,Pacific Southwest,SIERRA,HIGH SIERRA,TRIMMER,CALIFORNIA,"TRIMMER, CALIFORNIA",,,,http://www.fs.usda.gov/sierra/
1,Northern,KOOTENAI,CABINET,TROUT CREEK,MONTANA,"TROUT CREEK, MONTANA",Engine,YES,"1 bunkhouse, 6 rooms, 12 beds.  Tends to fill up fast.  Several permanent houses, all occupied most of the time.  ",http://www.fs.usda.gov/kootenai
6,Pacific Northwest,GIFFORD PINCHOT,MT. ADAMS,TROUTLAKE,WASHINGTON,"TROUTLAKE, WASHINGTON",Engine,YES,,http://www.fs.usda.gov/giffordpinchot
1,Northern,KOOTENAI,THREE RIVERS,TROY,MONTANA,"TROY, MONTANA",,,,http://www.fs.usda.gov/kootenai
5,Pacific Southwest,TAHOE,TRUCKEE,TRUCKEE,CALIFORNIA,"TRUCKEE, CALIFORNIA","Hotshot Crew, Engine",NO,,https://www.fs.usda.gov/tahoe/
3,Southwestern,GILA,BLACK RANGE,TRUTH OR CONSEQUENCE,NEW MEXICO,"TRUTH OR CONSEQUENCE, NEW MEXICO",,,,https://www.fs.usda.gov/gila/
3,Southwestern,CORONADO,SANTA CATALINA,TUCSON,ARIZONA,"TUCSON, ARIZONA",,,,https://www.fs.usda.gov/coronado
5,Pacific Southwest,MODOC,DOUBLEHEAD,TULELAKE,CALIFORNIA,"TULELAKE, CALIFORNIA",,,,http://www.fs.usda.gov/modoc
3,Southwestern,KAIBAB,TUSAYAN,TUSAYAN,ARIZONA,"TUSAYAN, ARIZONA",,,,https://www.fs.usda.gov/kaibab
6,Pacific Northwest,UMATILLA,NORTH FORK JOHN DAY,UKIAH,OREGON,"UKIAH, OREGON","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) , IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/umatilla
6,Pacific Northwest,WALLOWA-WHITMAN,LA GRANDE,UNITY,OREGON,"UNITY, OREGON","Engine, IA Crew/Squad (4-10 person)",YES,"Housing closes in Oct, can relocate to Halfway gov housing if you work into the winter.",http://www.fs.usda.gov/wallowa-whitman
5,Pacific Southwest,MENDOCINO,UPPER LAKE,UPPER LAKE,CALIFORNIA,"UPPER LAKE, CALIFORNIA","Engine, Hotshot Crew",YES,,http://www.fs.usda.gov/mendocino/
4,Intermountain,ASHLEY,FLAMING GORGE/VERNAL,VERNAL,UTAH,"VERNAL, UTAH",Prevention,NO,,http://www.fs.usda.gov/ashley
2,Rocky Mountain,MEDICINE BOW-ROUTT,PARKS,WALDEN,COLORADO,"WALDEN, COLORADO",Engine,YES,"Housing available for one seasonal employee in double occupancy bunkhouse.  No housing for 13/13s (2), 18/8 (1), and 26/0 (1).  Very few local rental properties with average waitlist of 3 months to 9 months to find local accommodations.  Town is approximately 600 people, 55 miles from larger communities of Laramie WY and Steamboat Springs CO where many single occupancy rentals  exist with a range in price from 800/month to in excess of 2000/month but require a 1 to 1.5 hour one way commute.",http://www.fs.usda.gov/mbr
6,Pacific Northwest,SIUSLAW,CENTRAL COAST-ODNRA,WALDPORT,OREGON,"WALDPORT, OREGON","Engine, Prevention",YES,,http://www.fs.usda.gov/siuslaw
2,Rocky Mountain,NEBRASKA,WALL,WALL,SOUTH DAKOTA,"WALL, SOUTH DAKOTA",Engine,YES,,http://www.fs.usda.gov/nebraska
6,Pacific Northwest,UMATILLA,WALLA WALLA,WALLA WALLA,WASHINGTON,"WALLA WALLA, WASHINGTON","Engine, IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/umatilla
1,Northern,DAKOTA PRAIRIE GRASSLANDS,MCKENZIE,WATFORD CITY,NORTH DAKOTA,"WATFORD CITY, NORTH DAKOTA",,,,http://www.fs.usda.gov/dpg/
5,Pacific Southwest,SHASTA-TRINITY,WEAVERVILLE,WEAVERVILLE,CALIFORNIA,"WEAVERVILLE, CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
4,Intermountain,PAYETTE,WEISER,WEISER,IDAHO,"WEISER, IDAHO",,,,http://www.fs.usda.gov/payette
1,Northern,CUSTER GALLATIN,HEBGEN LAKE,WEST YELLOWSTONE,MONTANA,"WEST YELLOWSTONE, MONTANA","Engine, IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/custergallatin
6,Pacific Northwest,WILLAMETTE,MIDDLE FORK,WESTFIR,OREGON,"WESTFIR, OREGON","Engine, Type 2/2IA Handcrew  (Dedicated 20+person),  Fuels",YES,,http://www.fs.usda.gov/willamette
1,Northern,NEZ PERCE-CLEARWATER,SALMON RIVER,WHITE BIRD,IDAHO,"WHITE BIRD, IDAHO","Engine, IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/nezperceclearwater/
1,Northern,HELENA-LEWIS AND CLARK,WHITE SULPHUR SPRINGS,WHITE SULPHUR SPGS,MONTANA,"WHITE SULPHUR SPGS, MONTANA",Engine,YES,,http://www.fs.usda.gov/helena/
1,Northern,BEAVERHEAD-DEERLODGE,BUTTE,WHITEHALL,MONTANA,"WHITEHALL, MONTANA","Engine, IA Crew/Squad (4-10 person)",YES,"I have stayed in the housing, one male one female building. I believe they have 2 T6 engines",http://www.fs.usda.gov/bdnf
3,Southwestern,KAIBAB,WILLIAMS,WILLIAMS,ARIZONA,"WILLIAMS, ARIZONA","Engine, IA Crew/Squad (4-10 person), Helitack, Fuels, Prevention",YES,Geren Base Work Center/Pittman Valley Helibase,https://www.fs.usda.gov/kaibab
5,Pacific Southwest,SIX RIVERS,LOWER TRINITY,WILLOW CREEK,CALIFORNIA,"WILLOW CREEK, CALIFORNIA",,,,http://www.fs.usda.gov/srnf/
5,Pacific Southwest,MENDOCINO,GRINDSTONE,WILLOWS,CALIFORNIA,"WILLOWS, CALIFORNIA",,,,http://www.fs.usda.gov/mendocino/
4,Intermountain,HUMBOLDT-TOIYABE,SANTA ROSA,WINNEMUCCA,NEVADA,"WINNEMUCCA, NEVADA",,,,http://www.fs.usda.gov/htnf
6,Pacific Northwest,OKANOGAN-WENATCHEE,METHOW VALLEY,WINTHROP,WASHINGTON,"WINTHROP, WASHINGTON","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) ",YES,,http://www.fs.usda.gov/okawen
1,Northern,BEAVERHEAD-DEERLODGE,WISDOM,WISDOM,MONTANA,"WISDOM, MONTANA","Engine, IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/bdnf
1,Northern,BEAVERHEAD-DEERLODGE,WISDOM,WISE RIVER,MONTANA,"WISE RIVER, MONTANA","Engine, IA Crew/Squad (4-10 person), Helitack",YES,"New Helibase construction in Wise River that includes new, additional housing for seasonals (slated to be completed Oct 2022). Will add 8 new seasonal beds",http://www.fs.usda.gov/bdnf
2,Rocky Mountain,PIKE AND SAN ISABEL,PIKES PEAK,WOODLAND PARK,COLORADO,"WOODLAND PARK, COLORADO",,,,http://www.fs.usda.gov/psicc
5,Pacific Southwest,ANGELES,LOS ANGELES GATEWAY,WRIGHTWOOD,CALIFORNIA,"WRIGHTWOOD, CALIFORNIA",,,,http://www.fs.usda.gov/angeles
2,Rocky Mountain,MEDICINE BOW-ROUTT,YAMPA,YAMPA,COLORADO,"YAMPA, COLORADO","Engines, Fuels",Yes,,http://www.fs.usda.gov/mbr
4,Intermountain,BOISE,,YELLOW PINE,IDAHO,"YELLOW PINE, IDAHO",IA Crew/Squad (4-10 person),YES,,http://www.fs.usda.gov/boise
5,Pacific Southwest,KLAMATH,HAPPY CAMP,YREKA,CALIFORNIA,"YREKA, CALIFORNIA",,,,http://www.fs.usda.gov/klamath
6,Pacific Northwest,MT. HOOD,ZIGZAG,ZIGZAG,OREGON,"ZIGZAG, OREGON",Hotshot Crew,Yes,,http://www.fs.usda.gov/mthood
